,0,1,2,3,4,5,6,7,8,9
105_city,-1.8621302,3.8506026,2.3481348,-3.3929825,-3.5365884,2.1789021,1.1535347,-0.16002594,0.1206912,-0.5805974
105_rural,-2.2606184,5.7892857,1.4490161,-2.3786104,-1.9015052,3.961936,2.5360904,-0.23779008,0.12707028,-1.4514419
105_town,-0.89419484,5.4929776,0.94748396,-1.1500645,-1.1481701,2.0973122,1.296267,-0.99586916,1.4582772,-0.54045486
13_city,0.46470335,-0.92954135,0.68010354,-1.0444893,-1.7734939,-0.80452335,-2.0973985,0.24375606,-1.956893,0.6900362
13_rural,0.81147027,0.30190626,-1.0485764,-0.7038242,1.8649176,0.38392982,-0.64690673,-1.0135524,-2.9988048,-1.1265273
13_town,1.8589252,-0.7162164,-1.5231625,-1.039586,-0.7893603,-0.7388648,-2.6339977,0.45854816,-1.5317494,0.31764132
14_city,2.532302,0.16682969,0.7065537,-1.5231962,-0.87706894,-0.006169161,0.3044414,-2.447472,-0.9977125,0.07365863
14_rural,-0.50454736,3.667804,-0.11945618,-2.3103433,-1.6842417,1.9437823,1.6689048,0.81085974,-1.1465255,-0.65714157
14_town,1.556308,1.6198237,-1.0408006,-2.620292,-1.9442626,0.40242186,-0.60214823,-0.17939864,0.45179892,-0.4482137
154_city,1.29522,1.0810081,0.77726936,-2.524879,-2.7042677,0.48364085,0.4100403,0.46451482,-0.36868098,-0.42790216
154_rural,0.012665449,3.4265609,1.0909245,-2.736834,-0.6057032,1.7659423,1.941171,0.5684946,0.6292187,-1.7621378
154_town,0.01282534,2.8833115,0.39682394,-1.4632535,-1.5491152,-0.31818885,-0.28696573,0.106624074,0.6562516,-0.119378194
155_city,0.6512223,2.3922496,1.2925639,-0.9370704,-0.9897294,1.5658486,1.329489,-3.9018667,-1.0591779,-0.12737845
155_rural,-0.84016377,2.8130064,0.8355405,-1.589727,0.3339257,2.3315601,1.829801,-3.3855379,-1.0589305,-1.7080209
155_town,-0.121019915,3.1827168,-0.62227875,-1.8348471,0.6744461,1.9414903,1.5079216,-3.492168,0.29764557,-0.50808024
156_city,1.0784833,1.9266735,1.2969817,-1.1565788,-0.964081,1.5662984,2.865321,-2.5585015,0.20781632,-0.17488936
156_rural,0.102748886,3.771712,0.7629511,-1.9690173,0.059571814,2.1876872,3.2011049,-2.120609,-0.53667283,-1.2099148
156_town,-0.7245628,5.1350546,-0.17603557,-0.64010084,-2.3640246,2.4624598,1.8525101,-0.8506003,0.07301084,0.3281197
157_city,-0.107735544,2.4312959,1.4270118,-1.6905841,-3.8893473,1.4702536,1.3678088,0.0025722657,-0.4939857,-0.48789784
157_rural,-0.29617086,3.2160788,-0.016922593,-0.8489245,-1.4016516,3.217927,3.4942024,-0.12019506,0.4084301,-0.8079769
157_town,-0.7143348,4.0454493,-0.07739783,-1.6262248,-1.4947011,1.9527166,2.5388286,-1.1058332,1.8380383,-0.11597912
159_city,-0.17150657,2.1399345,1.535051,-1.771572,-1.9929277,1.2871277,2.6636033,-1.2131836,0.7488421,-0.047630902
159_rural,2.248771,1.6892549,-0.028254576,-0.84714144,1.8495384,1.1447634,1.8338293,-2.7093186,-0.95402163,-1.8225988
159_town,1.2021121,2.9132974,-0.46578035,-0.40595242,0.8782995,0.084934555,-0.04849533,-3.0106268,0.50456655,-0.69673574
15_city,2.6181288,0.10558636,1.4337665,-2.0338173,-1.6320305,-0.5492294,-0.841231,-1.5168405,-0.3184008,0.841115
15_rural,4.3902063,0.23448552,0.3233818,-2.8367248,0.59787846,-0.5026299,-2.2495852,-0.9789346,-3.0516517,-1.0715578
15_town,4.374045,-0.42705673,-0.9282222,-2.883579,-1.240124,-1.7219371,-4.7749243,-1.0223037,-1.0572137,-0.25613198
163_city,1.5346096,0.94472224,1.4405867,-2.1976438,-1.7129695,0.92229295,0.80843276,-1.7639931,-0.7113102,-0.21969952
163_rural,0.3178569,2.7212715,0.09300252,-1.4311891,-0.9749595,2.216107,2.4956498,0.43128327,-0.58931506,-1.0129979
163_town,0.9494444,2.6467786,0.03970216,-1.293031,0.05531196,0.40977004,0.040519692,-1.9650073,-0.27480838,-0.73957723
164_city,1.5176406,0.7590859,0.76990896,-0.60403836,2.2697995,0.5264536,1.362733,-3.7613368,-0.9813606,0.8658217
164_rural,7.8323293,-1.2123158,-0.24085373,0.47285503,6.7430296,-1.612199,-0.35902536,-7.730885,-4.100358,-1.022574
164_town,1.6042337,1.5597253,0.7017086,-1.3565317,2.2261064,0.5983849,0.991351,-4.2086043,-0.9209806,0.022837065
165_city,-2.557801,-1.0243769,0.40654877,-4.681716,-9.963886,0.070175156,-3.8919392,8.635947,2.5749447,-1.0775958
165_rural,16.579638,-9.805309,-1.2152971,2.9140437,12.134799,-7.575151,-8.962019,-11.149769,-7.350098,-2.7379274
166_city,0.43661588,-0.9495552,0.6689576,-2.8651142,-2.670209,-1.2127877,-1.0304159,1.5170571,-0.49028063,1.2710028
166_rural,3.385821,-1.985339,-0.58205134,-0.6550361,1.6555068,-1.3984759,-2.2643876,-0.6963528,-2.7886345,-1.025013
166_town,-1.2477496,2.1354384,-0.5654721,-1.9809123,-0.9924802,0.029748458,0.345464,1.391539,0.50628835,1.2605016
167_city,0.8274892,-0.7065363,1.53865,-3.7856932,-4.7092957,-0.767038,-2.6544826,2.044813,-0.18131916,-0.45987543
167_rural,2.4329925,1.6280468,0.5476981,-0.6773221,1.8133214,0.7944046,0.89735955,-3.31127,-1.4963546,-1.5514984
167_town,-1.2202879,3.782315,0.6812275,-1.4519087,-1.0254053,1.3584962,0.45736647,-0.39737216,0.5266115,-0.6174445
169_city,2.2842715,-1.4417683,0.5665313,-1.4376321,-2.2361956,-0.7601008,-2.7314682,1.4242328,-0.31736788,0.008586218
169_rural,0.20777826,1.7066339,0.4643795,-1.53158,-0.9963692,1.0429934,1.1816188,0.17337139,-0.3671029,-1.0081518
169_town,-7.3435616,7.201592,1.7725347,-0.43354443,-2.363833,4.146216,5.4180207,3.0116382,2.9633029,-0.7185566
173_city,-0.40739733,1.54615,0.5132447,-2.24428,-2.703398,0.21537277,0.16727638,1.675083,-0.1928402,-0.0015589631
173_rural,-2.730006,5.9207644,1.6758094,-1.5955538,-0.04644018,2.6501312,4.209238,-0.6473327,0.39217362,0.11838477
173_town,-2.6857255,4.397318,1.1505843,-3.0728493,-3.155382,1.9568833,2.111514,2.1204293,0.7490724,0.20859374
174_city,1.4390285,1.9440889,2.058007,-1.1861778,-1.053338,0.9334048,1.0094928,-1.0437678,-0.51680464,0.7195114
174_rural,-0.28698212,3.2600982,0.64987236,-2.2326834,0.4593961,2.2408051,1.6636953,-1.3739705,-1.0831283,-1.2840841
174_town,-1.8369924,4.157093,0.07820071,-2.2338781,-1.4391187,2.014118,1.8634157,0.16797474,1.3855175,0.19503556
176_city,1.5796819,2.0040696,1.1927059,0.3011817,1.1013091,1.1072974,1.3745142,-2.5737553,-1.943633,0.056978464
176_rural,-1.5436037,3.4093113,0.8620844,0.4114814,0.8233927,2.1133995,1.8552585,-0.032585144,-0.66118133,-0.7322108
176_town,-0.86811584,4.0590687,0.5240578,0.6119255,1.1639997,1.938866,2.2888694,-1.4532737,-0.6156981,-0.2058279
177_city,7.542945,-2.5299857,1.8123308,0.074903905,4.486505,-2.0774782,-2.4729893,-7.1618376,-3.6552217,-1.3296095
177_rural,4.7054625,0.10657161,0.5275382,-0.67137825,3.2777174,0.3033141,-1.2880098,-4.7913904,-3.592225,-1.9456183
177_town,1.6579734,2.7009778,0.38283187,0.015295368,2.0913754,0.6296419,-0.4044183,-3.693918,-0.5408861,-0.5762004
178_city,0.9558512,-1.892992,-0.108542494,-3.58868,-5.936768,-2.0480292,-3.3866725,3.227525,-0.07683486,0.74768496
178_rural,-1.4928986,3.554604,0.9718558,-1.2112354,0.2616501,0.8182713,2.153147,-0.7389904,-0.85292995,0.008541405
178_town,-2.4543447,4.1686034,0.70312893,-2.813902,-3.2700152,1.1130903,1.3008701,3.0536656,0.7878429,0.8934661
