,0,1,2,3,4,5,6,7,8,9
105_city,1.0606645,0.8613869,0.91264075,0.09406866,-1.1508741,-1.4576247,0.44622347,-0.40039834,0.034143265,0.73835874
105_rural,0.6705108,1.3000839,-0.68800515,-0.49776238,-0.9404581,-0.8214451,0.08731569,-0.5344764,-1.1183398,-1.996007
105_town,-0.22188023,1.2984179,-0.9979403,-0.5254948,-0.9160948,-0.97095484,-0.8051129,-0.88133913,-0.49555272,-0.8405312
13_city,-0.1417969,-0.709852,0.17135563,-0.18416783,-0.24422307,-0.2678857,0.20140408,0.1624987,-1.067941,1.17461
13_rural,0.4195891,-0.4821156,-1.3574011,-0.00709957,-0.09319869,0.89106524,0.54612553,1.0634964,-1.7811695,0.5084299
13_town,-0.7649043,0.49987194,-0.7278464,0.23014346,0.10504402,-0.5141256,-1.1480155,0.0928599,-1.0736316,0.9233924
14_city,0.7751244,-0.41965547,-0.1894626,-0.5323715,-1.3055176,0.80260426,0.45511425,-0.48370877,-0.7808518,0.8828209
14_rural,0.97061926,0.19696432,-1.2128195,-0.28344372,-0.7878868,-0.19729443,1.2708545,0.123742804,-0.74250436,-0.3527104
14_town,0.25535348,1.2200887,-0.768151,0.045100868,-0.70732665,-1.1011636,-0.12882426,-0.32258478,-0.5446632,0.6562662
154_city,0.45284516,0.30864996,0.28375623,-0.24691899,-1.2018213,-1.6068891,1.0083649,-0.35486865,-0.05756902,0.48315278
154_rural,0.6955642,0.0095917275,-0.9994194,-0.7736395,-0.43206656,-0.64264345,1.1818852,-0.1443539,-0.09775762,-1.4217826
154_town,0.74849576,0.7741651,-1.0206243,-0.5108741,-0.36842817,-1.3647963,0.4385454,-0.18865117,0.8941331,-0.4421716
155_city,0.96006024,-0.93216133,-0.40837452,-0.11047616,-1.2064811,0.96008956,0.9988023,-1.1630661,0.25628084,0.47336325
155_rural,0.37596795,0.693898,-1.9417591,-0.29556933,-0.59629005,0.79989016,0.8275863,-0.6426066,-1.2337067,-1.0915244
155_town,0.46348676,1.453192,-1.7645735,0.078525625,-1.2200589,-0.04439753,-0.2928406,-1.0515788,-0.8348874,0.5364328
156_city,0.61103684,0.41229698,-0.5534845,-0.02437465,-2.0007348,-0.8449426,0.8730567,-1.0416279,-0.9746465,-0.115488425
156_rural,0.8761885,0.0075568776,-1.9546137,0.26962933,-1.4106734,1.1009666,1.1337097,-0.6681427,-0.75962096,-1.0879339
156_town,0.65499115,0.80216,-2.1278439,-0.6537762,-1.0893811,-0.97195625,1.0791436,-1.3249345,0.6699888,-0.5650914
157_city,0.7858754,-0.26745388,-0.76656866,-0.12351653,-1.4017739,-0.57775736,1.311554,-0.8043907,0.32139993,0.25595182
157_rural,1.1502706,1.2332932,-1.576755,-0.39795178,-1.1273351,-1.4671444,2.0431914,-0.18214868,-0.87733084,-1.6072432
157_town,0.46247965,1.2661958,-2.045429,0.7780067,-1.7910688,-1.4065021,0.52196133,-0.7803141,-0.600029,-0.33905092
159_city,1.0864158,0.2405981,0.24404909,-0.0833484,-1.4293702,-0.83692807,1.2216742,-0.13120297,-0.96028376,0.270034
